date,product_id,units_sold
2025-01-02,P01,36
2025-01-02,P02,41
2025-01-02,P03,47
2025-01-02,P04,44
2025-01-02,P05,31
2025-01-02,P06,28
2025-01-02,P07,23
2025-01-02,P08,29
2025-01-02,P09,33
2025-01-02,P10,23
2025-01-02,P11,18
2025-01-02,P12,31
2025-01-03,P01,37
2025-01-03,P02,42
2025-01-03,P03,49
2025-01-03,P04,47
2025-01-03,P05,33
2025-01-03,P06,30
2025-01-03,P07,24
2025-01-03,P08,29
2025-01-03,P09,35
2025-01-03,P10,24
2025-01-03,P11,19
2025-01-03,P12,33
2025-01-04,P01,39
2025-01-04,P02,44
2025-01-04,P03,52
2025-01-04,P04,50
2025-01-04,P05,36
2025-01-04,P06,31
2025-01-04,P07,30
2025-01-04,P08,31
2025-01-04,P09,36
2025-01-04,P10,26
2025-01-04,P11,20
2025-01-04,P12,35
2025-01-05,P01,39
2025-01-05,P02,44
2025-01-05,P03,52
2025-01-05,P04,51
2025-01-05,P05,36
2025-01-05,P06,31
2025-01-05,P07,25
2025-01-05,P08,30
2025-01-05,P09,36
2025-01-05,P10,26
2025-01-05,P11,20
2025-01-05,P12,35
2025-01-06,P01,34
2025-01-06,P02,39
2025-01-06,P03,47
2025-01-06,P04,46
2025-01-06,P05,32
2025-01-06,P06,28
2025-01-06,P07,22
2025-01-06,P08,26
2025-01-06,P09,32
2025-01-06,P10,23
2025-01-06,P11,18
2025-01-06,P12,31
2025-01-07,P01,34
2025-01-07,P02,39
2025-01-07,P03,47
2025-01-07,P04,46
2025-01-07,P05,32
2025-01-07,P06,32
2025-01-07,P07,21
2025-01-07,P08,26
2025-01-07,P09,32
2025-01-07,P10,23
2025-01-07,P11,18
2025-01-07,P12,31
2025-01-08,P01,33
2025-01-08,P02,38
2025-01-08,P03,48
2025-01-08,P04,47
2025-01-08,P05,32
2025-01-08,P06,27
2025-01-08,P07,21
2025-01-08,P08,25
2025-01-08,P09,32
2025-01-08,P10,23
2025-01-08,P11,18
2025-01-08,P12,30
2025-01-09,P01,33
2025-01-09,P02,38
2025-01-09,P03,48
2025-01-09,P04,47
2025-01-09,P05,32
2025-01-09,P06,26
2025-01-09,P07,20
2025-01-09,P08,25
2025-01-09,P09,32
2025-01-09,P10,23
2025-01-09,P11,18
2025-01-09,P12,30
2025-01-10,P01,34
2025-01-10,P02,40
2025-01-10,P03,51
2025-01-10,P04,50
2025-01-10,P05,39
2025-01-10,P06,27
2025-01-10,P07,21
2025-01-10,P08,26
2025-01-10,P09,34
2025-01-10,P10,25
2025-01-10,P11,19
2025-01-10,P12,31
2025-01-11,P01,36
2025-01-11,P02,43
2025-01-11,P03,55
2025-01-11,P04,53
2025-01-11,P05,35
2025-01-11,P06,28
2025-01-11,P07,22
2025-01-11,P08,28
2025-01-11,P09,36
2025-01-11,P10,26
2025-01-11,P11,20
2025-01-11,P12,32
2025-01-12,P01,36
2025-01-12,P02,44
2025-01-12,P03,55
2025-01-12,P04,53
2025-01-12,P05,34
2025-01-12,P06,27
2025-01-12,P07,22
2025-01-12,P08,28
2025-01-12,P09,36
2025-01-12,P10,27
2025-01-12,P11,20
2025-01-12,P12,32
2025-01-13,P01,32
2025-01-13,P02,39
2025-01-13,P03,50
2025-01-13,P04,55
2025-01-13,P05,30
2025-01-13,P06,24
2025-01-13,P07,19
2025-01-13,P08,25
2025-01-13,P09,33
2025-01-13,P10,24
2025-01-13,P11,17
2025-01-13,P12,28
2025-01-14,P01,32
2025-01-14,P02,40
2025-01-14,P03,50
2025-01-14,P04,46
2025-01-14,P05,29
2025-01-14,P06,23
2025-01-14,P07,19
2025-01-14,P08,25
2025-01-14,P09,33
2025-01-14,P10,24
2025-01-14,P11,17
2025-01-14,P12,28
2025-01-15,P01,32
2025-01-15,P02,40
2025-01-15,P03,50
2025-01-15,P04,45
2025-01-15,P05,28
2025-01-15,P06,23
2025-01-15,P07,19
2025-01-15,P08,25
2025-01-15,P09,33
2025-01-15,P10,23
2025-01-15,P11,17
2025-01-15,P12,27
2025-01-16,P01,32
2025-01-16,P02,40
2025-01-16,P03,58
2025-01-16,P04,44
2025-01-16,P05,28
2025-01-16,P06,23
2025-01-16,P07,19
2025-01-16,P08,26
2025-01-16,P09,33
2025-01-16,P10,23
2025-01-16,P11,17
2025-01-16,P12,27
2025-01-17,P01,34
2025-01-17,P02,42
2025-01-17,P03,51
2025-01-17,P04,46
2025-01-17,P05,29
2025-01-17,P06,24
2025-01-17,P07,20
2025-01-17,P08,27
2025-01-17,P09,35
2025-01-17,P10,24
2025-01-17,P11,17
2025-01-17,P12,28
2025-01-18,P01,37
2025-01-18,P02,45
2025-01-18,P03,54
2025-01-18,P04,48
2025-01-18,P05,30
2025-01-18,P06,25
2025-01-18,P07,22
2025-01-18,P08,29
2025-01-18,P09,37
2025-01-18,P10,25
2025-01-18,P11,18
2025-01-18,P12,36
2025-01-19,P01,37
2025-01-19,P02,53
2025-01-19,P03,53
2025-01-19,P04,47
2025-01-19,P05,29
2025-01-19,P06,25
2025-01-19,P07,22
2025-01-19,P08,29
2025-01-19,P09,37
2025-01-19,P10,25
2025-01-19,P11,18
2025-01-19,P12,31
2025-01-20,P01,33
2025-01-20,P02,40
2025-01-20,P03,47
2025-01-20,P04,41
2025-01-20,P05,26
2025-01-20,P06,22
2025-01-20,P07,20
2025-01-20,P08,26
2025-01-20,P09,33
2025-01-20,P10,22
2025-01-20,P11,16
2025-01-20,P12,28
2025-01-21,P01,33
2025-01-21,P02,40
2025-01-21,P03,46
2025-01-21,P04,40
2025-01-21,P05,26
2025-01-21,P06,23
2025-01-21,P07,20
2025-01-21,P08,26
2025-01-21,P09,33
2025-01-21,P10,22
2025-01-21,P11,19
2025-01-21,P12,28
2025-01-22,P01,39
2025-01-22,P02,39
2025-01-22,P03,45
2025-01-22,P04,39
2025-01-22,P05,26
2025-01-22,P06,23
2025-01-22,P07,20
2025-01-22,P08,26
2025-01-22,P09,32
2025-01-22,P10,22
2025-01-22,P11,16
2025-01-22,P12,29
2025-01-23,P01,33
2025-01-23,P02,39
2025-01-23,P03,44
2025-01-23,P04,38
2025-01-23,P05,26
2025-01-23,P06,23
2025-01-23,P07,20
2025-01-23,P08,26
2025-01-23,P09,32
2025-01-23,P10,22
2025-01-23,P11,16
2025-01-23,P12,29
2025-01-24,P01,35
2025-01-24,P02,40
2025-01-24,P03,45
2025-01-24,P04,40
2025-01-24,P05,27
2025-01-24,P06,24
2025-01-24,P07,21
2025-01-24,P08,28
2025-01-24,P09,33
2025-01-24,P10,27
2025-01-24,P11,17
2025-01-24,P12,31
2025-01-25,P01,37
2025-01-25,P02,42
2025-01-25,P03,47
2025-01-25,P04,42
2025-01-25,P05,29
2025-01-25,P06,26
2025-01-25,P07,23
2025-01-25,P08,29
2025-01-25,P09,35
2025-01-25,P10,24
2025-01-25,P11,19
2025-01-25,P12,34
2025-01-26,P01,36
2025-01-26,P02,41
2025-01-26,P03,46
2025-01-26,P04,42
2025-01-26,P05,29
2025-01-26,P06,27
2025-01-26,P07,23
2025-01-26,P08,29
2025-01-26,P09,35
2025-01-26,P10,24
2025-01-26,P11,19
2025-01-26,P12,35
2025-01-27,P01,32
2025-01-27,P02,36
2025-01-27,P03,41
2025-01-27,P04,38
2025-01-27,P05,27
2025-01-27,P06,24
2025-01-27,P07,21
2025-01-27,P08,26
2025-01-27,P09,36
2025-01-27,P10,22
2025-01-27,P11,17
2025-01-27,P12,32
2025-01-28,P01,31
2025-01-28,P02,35
2025-01-28,P03,40
2025-01-28,P04,38
2025-01-28,P05,27
2025-01-28,P06,24
2025-01-28,P07,21
2025-01-28,P08,25
2025-01-28,P09,31
2025-01-28,P10,22
2025-01-28,P11,18
2025-01-28,P12,33
2025-01-29,P01,31
2025-01-29,P02,34
2025-01-29,P03,40
2025-01-29,P04,38
2025-01-29,P05,27
2025-01-29,P06,25
2025-01-29,P07,20
2025-01-29,P08,25
2025-01-29,P09,31
2025-01-29,P10,22
2025-01-29,P11,18
2025-01-29,P12,33
2025-01-30,P01,30
2025-01-30,P02,34
2025-01-30,P03,40
2025-01-30,P04,39
2025-01-30,P05,28
2025-01-30,P06,25
2025-01-30,P07,20
2025-01-30,P08,30
2025-01-30,P09,31
2025-01-30,P10,23
2025-01-30,P11,19
2025-01-30,P12,34
2025-01-31,P01,31
2025-01-31,P02,35
2025-01-31,P03,42
2025-01-31,P04,42
2025-01-31,P05,30
2025-01-31,P06,26
2025-01-31,P07,21
2025-01-31,P08,26
2025-01-31,P09,33
2025-01-31,P10,25
2025-01-31,P11,20
2025-01-31,P12,36
2025-02-01,P01,33
2025-02-01,P02,37
2025-02-01,P03,46
2025-02-01,P04,45
2025-02-01,P05,32
2025-02-01,P06,28
2025-02-01,P07,22
2025-02-01,P08,28
2025-02-01,P09,36
2025-02-01,P10,27
2025-02-01,P11,22
2025-02-01,P12,38
2025-02-02,P01,32
2025-02-02,P02,37
2025-02-02,P03,46
2025-02-02,P04,46
2025-02-02,P05,32
2025-02-02,P06,28
2025-02-02,P07,26
2025-02-02,P08,28
2025-02-02,P09,36
2025-02-02,P10,28
2025-02-02,P11,22
2025-02-02,P12,38
2025-02-03,P01,28
2025-02-03,P02,33
2025-02-03,P03,42
2025-02-03,P04,42
2025-02-03,P05,29
2025-02-03,P06,25
2025-02-03,P07,20
2025-02-03,P08,25
2025-02-03,P09,33
2025-02-03,P10,25
2025-02-03,P11,20
2025-02-03,P12,34
2025-02-04,P01,28
2025-02-04,P02,33
2025-02-04,P03,43
2025-02-04,P04,42
2025-02-04,P05,29
2025-02-04,P06,24
2025-02-04,P07,20
2025-02-04,P08,25
2025-02-04,P09,34
2025-02-04,P10,26
2025-02-04,P11,20
2025-02-04,P12,34
2025-02-05,P01,28
2025-02-05,P02,34
2025-02-05,P03,43
2025-02-05,P04,43
2025-02-05,P05,29
2025-02-05,P06,29
2025-02-05,P07,20
2025-02-05,P08,26
2025-02-05,P09,35
2025-02-05,P10,26
2025-02-05,P11,20
2025-02-05,P12,34
2025-02-06,P01,28
2025-02-06,P02,34
2025-02-06,P03,44
2025-02-06,P04,43
2025-02-06,P05,29
2025-02-06,P06,24
2025-02-06,P07,20
2025-02-06,P08,26
2025-02-06,P09,35
2025-02-06,P10,27
2025-02-06,P11,20
2025-02-06,P12,33
2025-02-07,P01,29
2025-02-07,P02,37
2025-02-07,P03,47
2025-02-07,P04,46
2025-02-07,P05,30
2025-02-07,P06,25
2025-02-07,P07,21
2025-02-07,P08,28
2025-02-07,P09,38
2025-02-07,P10,28
2025-02-07,P11,21
2025-02-07,P12,35
2025-02-08,P01,32
2025-02-08,P02,40
2025-02-08,P03,51
2025-02-08,P04,49
2025-02-08,P05,38
2025-02-08,P06,27
2025-02-08,P07,22
2025-02-08,P08,31
2025-02-08,P09,41
2025-02-08,P10,30
2025-02-08,P11,22
2025-02-08,P12,36
2025-02-09,P01,32
2025-02-09,P02,41
2025-02-09,P03,52
2025-02-09,P04,49
2025-02-09,P05,32
2025-02-09,P06,27
2025-02-09,P07,23
2025-02-09,P08,31
2025-02-09,P09,42
2025-02-09,P10,30
2025-02-09,P11,22
2025-02-09,P12,36
2025-02-10,P01,29
2025-02-10,P02,37
2025-02-10,P03,47
2025-02-10,P04,44
2025-02-10,P05,28
2025-02-10,P06,24
2025-02-10,P07,21
2025-02-10,P08,29
2025-02-10,P09,38
2025-02-10,P10,27
2025-02-10,P11,19
2025-02-10,P12,32
2025-02-11,P01,30
2025-02-11,P02,38
2025-02-11,P03,48
2025-02-11,P04,52
2025-02-11,P05,28
2025-02-11,P06,24
2025-02-11,P07,21
2025-02-11,P08,29
2025-02-11,P09,38
2025-02-11,P10,27
2025-02-11,P11,19
2025-02-11,P12,32
2025-02-12,P01,30
2025-02-12,P02,38
2025-02-12,P03,48
2025-02-12,P04,44
2025-02-12,P05,28
2025-02-12,P06,24
2025-02-12,P07,22
2025-02-12,P08,30
2025-02-12,P09,39
2025-02-12,P10,27
2025-02-12,P11,19
2025-02-12,P12,32
2025-02-13,P01,31
2025-02-13,P02,39
2025-02-13,P03,48
2025-02-13,P04,43
2025-02-13,P05,28
2025-02-13,P06,25
2025-02-13,P07,22
2025-02-13,P08,30
2025-02-13,P09,39
2025-02-13,P10,26
2025-02-13,P11,19
2025-02-13,P12,32
2025-02-14,P01,33
2025-02-14,P02,41
2025-02-14,P03,59
2025-02-14,P04,45
2025-02-14,P05,30
2025-02-14,P06,26
2025-02-14,P07,24
2025-02-14,P08,32
2025-02-14,P09,41
2025-02-14,P10,27
2025-02-14,P11,19
2025-02-14,P12,33
2025-02-15,P01,36
2025-02-15,P02,45
2025-02-15,P03,53
2025-02-15,P04,48
2025-02-15,P05,32
2025-02-15,P06,29
2025-02-15,P07,26
2025-02-15,P08,34
2025-02-15,P09,43
2025-02-15,P10,29
2025-02-15,P11,21
2025-02-15,P12,36
2025-02-16,P01,37
2025-02-16,P02,45
2025-02-16,P03,53
2025-02-16,P04,48
2025-02-16,P05,32
2025-02-16,P06,29
2025-02-16,P07,26
2025-02-16,P08,35
2025-02-16,P09,42
2025-02-16,P10,28
2025-02-16,P11,20
2025-02-16,P12,42
2025-02-17,P01,33
2025-02-17,P02,47
2025-02-17,P03,47
2025-02-17,P04,43
2025-02-17,P05,29
2025-02-17,P06,27
2025-02-17,P07,24
2025-02-17,P08,31
2025-02-17,P09,37
2025-02-17,P10,25
2025-02-17,P11,18
2025-02-17,P12,32
2025-02-18,P01,34
2025-02-18,P02,40
2025-02-18,P03,47
2025-02-18,P04,43
2025-02-18,P05,29
2025-02-18,P06,27
2025-02-18,P07,24
2025-02-18,P08,31
2025-02-18,P09,37
2025-02-18,P10,25
2025-02-18,P11,18
2025-02-18,P12,33
2025-02-19,P01,34
2025-02-19,P02,40
2025-02-19,P03,47
2025-02-19,P04,43
2025-02-19,P05,30
2025-02-19,P06,28
2025-02-19,P07,24
2025-02-19,P08,30
2025-02-19,P09,36
2025-02-19,P10,24
2025-02-19,P11,22
2025-02-19,P12,33
2025-02-20,P01,41
2025-02-20,P02,40
2025-02-20,P03,46
2025-02-20,P04,43
2025-02-20,P05,30
2025-02-20,P06,28
2025-02-20,P07,24
2025-02-20,P08,30
2025-02-20,P09,36
2025-02-20,P10,24
2025-02-20,P11,18
2025-02-20,P12,33
2025-02-21,P01,36
2025-02-21,P02,42
2025-02-21,P03,49
2025-02-21,P04,46
2025-02-21,P05,33
2025-02-21,P06,30
2025-02-21,P07,25
2025-02-21,P08,31
2025-02-21,P09,37
2025-02-21,P10,25
2025-02-21,P11,19
2025-02-21,P12,35
2025-02-22,P01,39
2025-02-22,P02,44
2025-02-22,P03,52
2025-02-22,P04,49
2025-02-22,P05,35
2025-02-22,P06,32
2025-02-22,P07,27
2025-02-22,P08,33
2025-02-22,P09,39
2025-02-22,P10,32
2025-02-22,P11,21
2025-02-22,P12,37
2025-02-23,P01,38
2025-02-23,P02,44
2025-02-23,P03,52
2025-02-23,P04,50
2025-02-23,P05,36
2025-02-23,P06,32
2025-02-23,P07,26
2025-02-23,P08,32
2025-02-23,P09,38
2025-02-23,P10,27
2025-02-23,P11,21
2025-02-23,P12,37
2025-02-24,P01,34
2025-02-24,P02,39
2025-02-24,P03,47
2025-02-24,P04,46
2025-02-24,P05,33
2025-02-24,P06,29
2025-02-24,P07,23
2025-02-24,P08,28
2025-02-24,P09,34
2025-02-24,P10,24
2025-02-24,P11,19
2025-02-24,P12,33
2025-02-25,P01,34
2025-02-25,P02,39
2025-02-25,P03,47
2025-02-25,P04,46
2025-02-25,P05,33
2025-02-25,P06,29
2025-02-25,P07,23
2025-02-25,P08,28
2025-02-25,P09,40
2025-02-25,P10,24
2025-02-25,P11,19
2025-02-25,P12,33
2025-02-26,P01,33
2025-02-26,P02,38
2025-02-26,P03,48
2025-02-26,P04,47
2025-02-26,P05,33
2025-02-26,P06,28
2025-02-26,P07,22
2025-02-26,P08,27
2025-02-26,P09,34
2025-02-26,P10,24
2025-02-26,P11,19
2025-02-26,P12,33
2025-02-27,P01,33
2025-02-27,P02,39
2025-02-27,P03,48
2025-02-27,P04,48
2025-02-27,P05,33
2025-02-27,P06,28
2025-02-27,P07,22
2025-02-27,P08,27
2025-02-27,P09,34
2025-02-27,P10,25
2025-02-27,P11,19
2025-02-27,P12,32
2025-02-28,P01,35
2025-02-28,P02,41
2025-02-28,P03,51
2025-02-28,P04,51
2025-02-28,P05,35
2025-02-28,P06,29
2025-02-28,P07,23
2025-02-28,P08,33
2025-02-28,P09,35
2025-02-28,P10,26
2025-02-28,P11,20
2025-02-28,P12,33
2025-03-01,P01,37
2025-03-01,P02,44
2025-03-01,P03,56
2025-03-01,P04,55
2025-03-01,P05,37
2025-03-01,P06,30
2025-03-01,P07,24
2025-03-01,P08,30
2025-03-01,P09,38
2025-03-01,P10,28
2025-03-01,P11,21
2025-03-01,P12,35
2025-03-02,P01,37
2025-03-02,P02,44
2025-03-02,P03,57
2025-03-02,P04,55
2025-03-02,P05,37
2025-03-02,P06,30
2025-03-02,P07,23
2025-03-02,P08,29
2025-03-02,P09,38
2025-03-02,P10,28
2025-03-02,P11,21
2025-03-02,P12,34
2025-03-03,P01,33
2025-03-03,P02,40
2025-03-03,P03,51
2025-03-03,P04,49
2025-03-03,P05,32
2025-03-03,P06,26
2025-03-03,P07,24
2025-03-03,P08,26
2025-03-03,P09,34
2025-03-03,P10,25
2025-03-03,P11,18
2025-03-03,P12,30
2025-03-04,P01,33
2025-03-04,P02,40
2025-03-04,P03,52
2025-03-04,P04,49
2025-03-04,P05,32
2025-03-04,P06,25
2025-03-04,P07,20
2025-03-04,P08,26
2025-03-04,P09,35
2025-03-04,P10,25
2025-03-04,P11,18
2025-03-04,P12,29
2025-03-05,P01,33
2025-03-05,P02,41
2025-03-05,P03,52
2025-03-05,P04,49
2025-03-05,P05,31
2025-03-05,P06,25
2025-03-05,P07,20
2025-03-05,P08,26
2025-03-05,P09,35
2025-03-05,P10,25
2025-03-05,P11,18
2025-03-05,P12,28
2025-03-06,P01,33
2025-03-06,P02,41
2025-03-06,P03,52
2025-03-06,P04,48
2025-03-06,P05,30
2025-03-06,P06,29
2025-03-06,P07,20
2025-03-06,P08,27
2025-03-06,P09,35
2025-03-06,P10,24
2025-03-06,P11,17
2025-03-06,P12,28
2025-03-07,P01,35
2025-03-07,P02,44
2025-03-07,P03,55
2025-03-07,P04,50
2025-03-07,P05,31
2025-03-07,P06,25
2025-03-07,P07,21
2025-03-07,P08,28
2025-03-07,P09,36
2025-03-07,P10,25
2025-03-07,P11,18
2025-03-07,P12,29
2025-03-08,P01,38
2025-03-08,P02,47
2025-03-08,P03,58
2025-03-08,P04,52
2025-03-08,P05,32
2025-03-08,P06,27
2025-03-08,P07,23
2025-03-08,P08,30
2025-03-08,P09,39
2025-03-08,P10,26
2025-03-08,P11,19
2025-03-08,P12,30
2025-03-09,P01,38
2025-03-09,P02,48
2025-03-09,P03,58
2025-03-09,P04,51
2025-03-09,P05,38
2025-03-09,P06,26
2025-03-09,P07,23
2025-03-09,P08,30
2025-03-09,P09,39
2025-03-09,P10,26
2025-03-09,P11,18
2025-03-09,P12,30
2025-03-10,P01,35
2025-03-10,P02,43
2025-03-10,P03,51
2025-03-10,P04,44
2025-03-10,P05,28
2025-03-10,P06,23
2025-03-10,P07,20
2025-03-10,P08,27
2025-03-10,P09,34
2025-03-10,P10,23
2025-03-10,P11,16
2025-03-10,P12,27
2025-03-11,P01,35
2025-03-11,P02,42
2025-03-11,P03,50
2025-03-11,P04,43
2025-03-11,P05,27
2025-03-11,P06,23
2025-03-11,P07,20
2025-03-11,P08,27
2025-03-11,P09,34
2025-03-11,P10,22
2025-03-11,P11,16
2025-03-11,P12,27
2025-03-12,P01,35
2025-03-12,P02,42
2025-03-12,P03,49
2025-03-12,P04,50
2025-03-12,P05,27
2025-03-12,P06,24
2025-03-12,P07,21
2025-03-12,P08,27
2025-03-12,P09,33
2025-03-12,P10,22
2025-03-12,P11,16
2025-03-12,P12,27
2025-03-13,P01,35
2025-03-13,P02,42
2025-03-13,P03,48
2025-03-13,P04,41
2025-03-13,P05,27
2025-03-13,P06,24
2025-03-13,P07,21
2025-03-13,P08,27
2025-03-13,P09,33
2025-03-13,P10,22
2025-03-13,P11,16
2025-03-13,P12,28
2025-03-14,P01,37
2025-03-14,P02,43
2025-03-14,P03,49
2025-03-14,P04,43
2025-03-14,P05,28
2025-03-14,P06,25
2025-03-14,P07,22
2025-03-14,P08,28
2025-03-14,P09,34
2025-03-14,P10,22
2025-03-14,P11,16
2025-03-14,P12,30
2025-03-15,P01,39
2025-03-15,P02,45
2025-03-15,P03,60
2025-03-15,P04,45
2025-03-15,P05,30
2025-03-15,P06,27
2025-03-15,P07,23
2025-03-15,P08,30
2025-03-15,P09,35
2025-03-15,P10,24
2025-03-15,P11,18
2025-03-15,P12,32
2025-03-16,P01,39
2025-03-16,P02,44
2025-03-16,P03,50
2025-03-16,P04,44
2025-03-16,P05,30
2025-03-16,P06,27
2025-03-16,P07,23
2025-03-16,P08,29
2025-03-16,P09,35
2025-03-16,P10,23
2025-03-16,P11,18
2025-03-16,P12,33
2025-03-17,P01,35
2025-03-17,P02,39
2025-03-17,P03,44
2025-03-17,P04,39
2025-03-17,P05,27
2025-03-17,P06,24
2025-03-17,P07,21
2025-03-17,P08,26
2025-03-17,P09,31
2025-03-17,P10,21
2025-03-17,P11,16
2025-03-17,P12,35
2025-03-18,P01,34
2025-03-18,P02,45
2025-03-18,P03,43
2025-03-18,P04,39
2025-03-18,P05,27
2025-03-18,P06,24
2025-03-18,P07,21
2025-03-18,P08,25
2025-03-18,P09,30
2025-03-18,P10,21
2025-03-18,P11,16
2025-03-18,P12,30
2025-03-19,P01,33
2025-03-19,P02,37
2025-03-19,P03,42
2025-03-19,P04,39
2025-03-19,P05,28
2025-03-19,P06,25
2025-03-19,P07,20
2025-03-19,P08,25
2025-03-19,P09,30
2025-03-19,P10,21
2025-03-19,P11,17
2025-03-19,P12,31
2025-03-20,P01,33
2025-03-20,P02,36
2025-03-20,P03,42
2025-03-20,P04,39
2025-03-20,P05,28
2025-03-20,P06,25
2025-03-20,P07,20
2025-03-20,P08,25
2025-03-20,P09,30
2025-03-20,P10,21
2025-03-20,P11,20
2025-03-20,P12,31
2025-03-21,P01,40
2025-03-21,P02,37
2025-03-21,P03,44
2025-03-21,P04,42
2025-03-21,P05,29
2025-03-21,P06,26
2025-03-21,P07,21
2025-03-21,P08,26
2025-03-21,P09,31
2025-03-21,P10,23
2025-03-21,P11,18
2025-03-21,P12,33
2025-03-22,P01,35
2025-03-22,P02,39
2025-03-22,P03,46
2025-03-22,P04,45
2025-03-22,P05,32
2025-03-22,P06,27
2025-03-22,P07,22
2025-03-22,P08,27
2025-03-22,P09,34
2025-03-22,P10,25
2025-03-22,P11,20
2025-03-22,P12,36
